time_ms,motorA_rel_deg,motorA_abs_deg,motorB_rel_deg,motorB_abs_deg,motorC_rel_deg,motorC_abs_deg,yaw_deg,pitch_deg,roll_deg
101 , 0 , 37 , 0 , -59 , 0 , 0 , -14.5 , -42.4 , 0.1 

152 , 0 , 37 , -1 , -60 , 0 , 0 , -14.8 , -42.3 , -0.4 

203 , 0 , 37 , -1 , -60 , 0 , 0 , -14.0 , -41.5 , -1.5 

253 , 1 , 38 , -1 , -60 , 0 , 0 , -13.6 , -40.9 , -0.4 

305 , 1 , 38 , -1 , -60 , 0 , 0 , -13.8 , -41.2 , 0.2 

356 , 0 , 37 , -1 , -60 , 0 , 0 , -13.9 , -40.8 , 0.3 

407 , 1 , 38 , -1 , -60 , 0 , 0 , -14.6 , -40.0 , 1.1 

457 , 0 , 37 , 0 , -59 , 0 , 0 , -15.3 , -39.0 , 1.7 

509 , 0 , 37 , 0 , -59 , 0 , 0 , -16.0 , -35.3 , 3.0 

560 , 1 , 38 , 0 , -59 , 0 , 0 , -16.3 , -32.1 , 3.9 

611 , 1 , 38 , 0 , -59 , 0 , 0 , -14.1 , -27.8 , 1.4 

662 , 1 , 38 , 0 , -59 , 0 , 0 , -11.0 , -22.0 , -1.0 

712 , 1 , 38 , -1 , -60 , 0 , 0 , -9.3 , -16.3 , -2.2 

764 , 1 , 38 , -1 , -60 , 0 , 0 , -8.1 , -11.7 , -4.4 

815 , 1 , 38 , -1 , -60 , 0 , 0 , -7.8 , -7.7 , -4.5 

866 , 1 , 38 , -1 , -60 , 0 , 0 , -7.4 , -6.6 , -2.5 

917 , 1 , 38 , -1 , -60 , 0 , 0 , -7.2 , -3.9 , -1.3 

968 , 1 , 38 , -2 , -61 , 0 , 0 , -7.0 , -2.4 , -1.7 

1019 , 1 , 38 , -2 , -61 , 0 , 0 , -6.9 , -2.7 , -0.9 

1070 , 1 , 38 , -2 , -61 , 0 , 0 , -7.4 , -4.5 , -1.1 

1121 , 1 , 38 , -2 , -61 , 0 , 0 , -8.8 , -11.1 , -2.2 

1171 , 0 , 37 , -1 , -60 , 0 , 0 , -11.0 , -22.8 , -1.4 

1223 , 1 , 38 , -2 , -61 , 0 , 0 , -12.8 , -34.9 , -2.0 

1273 , 1 , 38 , -3 , -62 , 0 , 0 , -12.1 , -44.9 , -5.7 

1325 , 2 , 39 , -4 , -63 , 0 , 0 , -11.8 , -55.2 , -6.2 

1375 , 2 , 39 , -4 , -63 , 0 , 0 , -12.2 , -61.5 , -6.6 

1427 , 2 , 39 , -4 , -63 , 0 , 0 , -10.2 , -67.5 , -8.9 

1477 , 2 , 39 , -4 , -63 , 0 , 0 , -11.1 , -72.6 , -8.2 

1529 , 1 , 38 , -4 , -63 , 0 , 0 , -14.6 , -75.7 , -4.8 

1580 , 1 , 38 , -4 , -63 , 0 , 0 , -15.5 , -75.7 , -3.5 

