time_ms,motorA_rel_deg,motorA_abs_deg,motorB_rel_deg,motorB_abs_deg,motorC_rel_deg,motorC_abs_deg,yaw_deg,pitch_deg,roll_deg
1631 , 2 , 39 , -4 , -63 , 0 , 0 , -13.6 , -71.9 , -5.5 

1681 , 2 , 39 , -4 , -63 , 0 , 0 , -10.1 , -66.6 , -9.2 

1733 , 2 , 39 , -4 , -63 , 0 , 0 , -11.8 , -59.7 , -7.9 

1784 , 2 , 39 , -4 , -63 , 0 , 0 , -12.0 , -51.8 , -9.9 

1835 , 2 , 39 , -4 , -63 , 0 , 0 , -15.1 , -39.2 , -7.2 

1886 , 2 , 39 , -2 , -61 , 0 , 0 , -16.1 , -28.2 , -5.3 

1937 , 2 , 39 , -2 , -61 , 0 , 0 , -16.7 , -22.2 , -3.3 

1988 , 2 , 39 , -2 , -61 , 0 , 0 , -16.8 , -17.2 , -2.4 

2039 , 2 , 39 , -2 , -61 , 0 , 0 , -16.3 , -14.7 , -3.4 

2090 , 2 , 39 , -2 , -61 , 0 , 0 , -16.1 , -15.0 , -2.6 

2141 , 2 , 39 , -2 , -61 , 0 , 0 , -16.2 , -21.2 , -0.9 

2191 , 2 , 39 , 0 , -59 , 0 , 0 , -15.8 , -31.8 , 0.7 

2243 , 2 , 39 , -1 , -60 , 0 , 0 , -15.7 , -38.8 , -0.7 

2294 , 2 , 39 , -2 , -61 , 0 , 0 , -14.7 , -46.2 , -4.6 

2345 , 2 , 39 , -3 , -62 , 0 , 0 , -12.7 , -54.0 , -8.9 

2396 , 2 , 39 , -4 , -63 , 0 , 0 , -10.2 , -65.4 , -10.3 

2447 , 2 , 39 , -4 , -63 , 0 , 0 , -10.0 , -73.5 , -9.8 

2497 , 2 , 39 , -4 , -63 , 0 , 0 , -9.9 , -77.1 , -10.0 

2549 , 2 , 39 , -4 , -63 , 0 , 0 , -9.0 , -78.6 , -11.7 

2600 , 2 , 39 , -4 , -63 , 0 , 0 , -7.6 , -76.5 , -12.7 

2651 , 2 , 39 , -4 , -63 , 0 , 0 , -13.0 , -70.8 , -6.7 

2702 , 2 , 39 , -4 , -63 , 0 , 0 , -17.6 , -64.4 , -2.5 

2753 , 2 , 39 , -2 , -61 , 0 , 0 , -22.2 , -54.7 , 3.1 

2804 , 2 , 39 , -2 , -61 , 0 , 0 , -30.9 , -49.3 , 12.6 

2855 , 2 , 39 , -3 , -62 , 0 , 0 , -39.0 , -43.2 , 17.7 

2906 , 1 , 38 , -3 , -62 , 0 , 0 , -46.4 , -35.9 , 20.8 

2956 , 1 , 38 , -3 , -62 , 0 , 0 , -54.2 , -30.0 , 20.7 

3008 , 1 , 38 , -3 , -62 , 0 , 0 , -62.2 , -25.1 , 20.2 

3059 , 2 , 39 , -3 , -62 , 0 , 0 , -67.0 , -22.3 , 20.6 

3110 , 1 , 38 , -4 , -63 , 0 , 0 , -70.1 , -21.4 , 19.0 

3161 , 1 , 38 , -4 , -63 , 0 , 0 , -71.0 , -23.9 , 19.2 

3211 , 1 , 38 , -4 , -63 , 0 , 0 , -69.3 , -26.5 , 21.3 

3263 , 1 , 38 , -4 , -63 , 0 , 0 , -65.7 , -27.5 , 22.6 

3313 , 1 , 38 , -3 , -62 , 0 , 0 , -56.1 , -28.0 , 19.6 

3365 , 2 , 39 , -3 , -62 , 0 , 0 , -44.2 , -27.3 , 15.0 

3416 , 2 , 39 , -3 , -62 , 0 , 0 , -29.1 , -25.5 , 8.5 

3467 , 2 , 39 , -3 , -62 , 0 , 0 , -12.1 , -21.9 , 3.4 

3517 , 2 , 39 , -3 , -62 , 0 , 0 , 1.8 , -19.5 , -0.7 

3569 , 4 , 41 , -3 , -62 , 0 , 0 , 16.0 , -15.9 , -6.3 

3620 , 5 , 42 , -3 , -62 , 0 , 0 , 25.3 , -13.6 , -9.0 

3671 , 5 , 42 , -2 , -61 , 0 , 0 , 29.3 , -11.6 , -13.2 

3722 , 3 , 40 , -2 , -61 , 0 , 0 , 26.0 , -12.2 , -16.1 

3773 , 3 , 40 , -2 , -61 , 0 , 0 , 18.0 , -14.7 , -16.3 

3824 , 2 , 39 , -2 , -61 , 0 , 0 , 7.1 , -20.0 , -12.5 

3875 , 2 , 39 , -2 , -61 , 0 , 0 , -5.3 , -24.7 , -5.8 

3926 , 2 , 39 , -1 , -60 , 0 , 0 , -17.6 , -26.4 , 0.4 

3977 , 2 , 39 , -1 , -60 , 0 , 0 , -27.5 , -27.6 , 4.1 

4027 , 3 , 40 , -2 , -61 , 0 , 0 , -36.2 , -27.9 , 6.8 

4079 , 3 , 40 , -2 , -61 , 0 , 0 , -39.9 , -30.2 , 9.1 

4130 , 2 , 39 , -2 , -61 , 0 , 0 , -38.2 , -32.6 , 8.3 

4181 , 2 , 39 , -2 , -61 , 0 , 0 , -34.1 , -33.2 , 6.6 

4231 , 2 , 39 , -2 , -61 , 0 , 0 , -28.4 , -33.4 , 3.1 

4283 , 2 , 39 , -2 , -61 , 0 , 0 , -22.8 , -36.3 , -0.5 

4333 , 3 , 40 , -2 , -61 , 0 , 0 , -20.2 , -39.7 , -2.3 

4385 , 3 , 40 , -1 , -60 , 0 , 0 , -16.9 , -40.9 , -5.3 

4436 , 3 , 40 , -1 , -60 , 0 , 0 , -15.8 , -42.3 , -5.6 

4486 , 2 , 39 , 2 , -57 , 0 , 0 , -13.8 , -41.9 , -7.8 

4537 , 2 , 39 , 4 , -55 , 0 , 0 , -12.5 , -42.0 , -9.3 

4589 , 2 , 39 , -2 , -61 , 0 , 0 , -11.0 , -43.4 , -10.1 

4640 , 2 , 39 , -4 , -63 , 0 , 0 , -9.5 , -43.8 , -10.9 

4691 , 2 , 39 , -3 , -62 , 0 , 0 , -8.0 , -42.6 , -12.8 

4742 , 2 , 39 , -2 , -61 , 0 , 0 , -6.7 , -42.6 , -14.5 

4793 , 2 , 39 , 0 , -59 , 0 , 0 , -5.7 , -41.7 , -16.4 

4844 , 2 , 39 , 2 , -57 , 0 , 0 , -6.8 , -40.7 , -16.7 

4895 , 2 , 39 , 2 , -57 , 0 , 0 , -8.1 , -39.5 , -13.8 

4945 , 2 , 39 , -3 , -62 , 0 , 0 , -9.5 , -39.4 , -11.0 

4997 , 2 , 39 , -3 , -62 , 0 , 0 , -10.2 , -39.7 , -10.8 

5048 , 2 , 39 , -2 , -61 , 0 , 0 , -11.3 , -39.7 , -10.4 

5099 , 2 , 39 , -2 , -61 , 0 , 0 , -10.3 , -40.1 , -10.8 

5150 , 2 , 39 , -1 , -60 , 0 , 0 , -11.3 , -40.5 , -9.5 

5201 , 2 , 39 , -1 , -60 , 0 , 0 , -9.2 , -38.8 , -13.0 

5251 , 2 , 39 , 1 , -58 , 0 , 0 , -9.4 , -41.6 , -10.2 

5303 , 1 , 38 , 1 , -58 , 0 , 0 , -7.9 , -39.9 , -14.7 

5353 , 1 , 38 , 2 , -57 , 0 , 0 , -7.1 , -41.5 , -16.2 

5405 , 2 , 39 , 4 , -55 , 0 , 0 , -5.3 , -43.5 , -17.2 

5455 , 2 , 39 , -4 , -63 , 0 , 0 , -4.3 , -43.4 , -17.4 

5507 , 2 , 39 , -4 , -63 , 0 , 0 , -6.0 , -42.2 , -14.9 

5558 , 2 , 39 , -2 , -61 , 0 , 0 , -5.0 , -40.1 , -15.8 

5609 , 2 , 39 , -2 , -61 , 0 , 0 , -4.8 , -40.8 , -15.7 

5660 , 2 , 39 , -2 , -61 , 0 , 0 , -4.8 , -41.5 , -16.4 

5711 , 2 , 39 , -1 , -60 , 0 , 0 , -5.7 , -41.9 , -15.3 

5762 , 2 , 39 , 1 , -58 , 0 , 0 , -6.0 , -42.5 , -14.0 

5813 , 2 , 39 , -1 , -60 , 0 , 0 , -4.5 , -41.8 , -15.8 

5864 , 2 , 39 , 2 , -57 , 0 , 0 , -4.1 , -41.5 , -15.1 

5915 , 2 , 39 , -1 , -60 , 0 , 0 , -4.4 , -40.9 , -14.2 

5965 , 2 , 39 , 0 , -59 , 0 , 0 , -2.6 , -39.6 , -16.8 

6017 , 2 , 39 , 1 , -58 , 0 , 0 , -2.2 , -39.1 , -17.6 

6067 , 2 , 39 , 0 , -59 , 0 , 0 , -4.1 , -39.8 , -16.3 

6119 , 2 , 39 , 0 , -59 , 0 , 0 , -4.8 , -41.8 , -15.9 

6170 , 2 , 39 , 1 , -58 , 0 , 0 , -6.0 , -42.7 , -15.3 

6221 , 2 , 39 , 3 , -56 , 0 , 0 , -8.5 , -44.3 , -13.2 

6271 , 2 , 39 , 7 , -52 , 0 , 0 , -9.0 , -43.3 , -13.7 

6323 , 1 , 38 , 16 , -43 , 0 , 0 , -10.6 , -43.9 , -12.6 

6374 , 1 , 38 , 34 , -25 , 0 , 0 , -10.5 , -43.6 , -13.0 

6425 , 1 , 38 , 41 , -18 , 0 , 0 , -12.1 , -44.3 , -10.5 

6476 , 1 , 38 , 41 , -18 , 0 , 0 , -12.6 , -43.6 , -10.5 

6527 , 2 , 39 , 38 , -21 , 0 , 0 , -14.2 , -43.8 , -11.2 

6578 , 1 , 38 , 41 , -18 , 0 , 0 , -14.0 , -43.5 , -10.2 

6629 , 1 , 38 , 42 , -17 , 0 , 0 , -12.3 , -43.0 , -12.0 

6680 , 1 , 38 , 46 , -13 , 0 , 0 , -14.0 , -45.1 , -10.4 

6731 , 2 , 39 , 55 , -4 , 0 , 0 , -15.4 , -45.7 , -10.0 

6782 , 2 , 39 , 83 , 24 , 0 , 0 , -14.4 , -45.8 , -11.2 

6833 , 2 , 39 , 104 , 45 , 0 , 0 , -15.2 , -47.3 , -9.5 

6884 , 2 , 39 , 110 , 51 , 0 , 0 , -15.7 , -46.2 , -8.8 

6935 , 2 , 39 , 117 , 58 , 0 , 0 , -16.1 , -46.2 , -8.7 

6985 , 2 , 39 , 117 , 58 , 0 , 0 , -14.9 , -45.7 , -10.5 

7037 , 2 , 39 , 117 , 58 , 0 , 0 , -15.1 , -47.2 , -10.3 

7087 , 2 , 39 , 120 , 61 , 0 , 0 , -15.8 , -47.9 , -9.8 

7139 , 2 , 39 , 131 , 72 , 0 , 0 , -15.2 , -47.7 , -10.4 

7190 , 2 , 39 , 159 , 100 , 0 , 0 , -15.3 , -47.4 , -10.2 

7241 , 3 , 40 , 174 , 115 , 0 , 0 , -16.4 , -48.0 , -8.1 

7291 , 3 , 40 , 174 , 115 , 0 , 0 , -17.1 , -46.7 , -7.7 

7343 , 2 , 39 , 179 , 120 , 0 , 0 , -15.5 , -45.5 , -9.7 

7394 , 2 , 39 , 179 , 120 , 0 , 0 , -16.3 , -44.8 , -9.2 

7445 , 2 , 39 , 179 , 120 , 0 , 0 , -15.8 , -46.3 , -10.0 

7496 , 2 , 39 , 180 , 121 , 0 , 0 , -15.9 , -47.1 , -10.1 

7547 , 2 , 39 , 188 , 129 , 0 , 0 , -15.6 , -46.6 , -10.4 

7598 , 2 , 39 , 213 , 154 , 0 , 0 , -14.3 , -46.5 , -11.0 

7649 , 2 , 39 , 231 , 172 , 0 , 0 , -15.6 , -47.7 , -9.0 

7700 , 2 , 39 , 237 , 178 , 0 , 0 , -17.1 , -46.4 , -7.1 

7751 , 2 , 39 , 236 , 177 , 0 , 0 , -16.2 , -45.2 , -8.8 

7801 , 2 , 39 , 244 , -175 , 0 , 0 , -16.4 , -45.5 , -8.0 

7852 , 2 , 39 , 243 , -176 , 0 , 0 , -16.1 , -45.3 , -9.0 

7904 , 2 , 39 , 241 , -178 , 0 , 0 , -14.9 , -46.3 , -9.9 

7955 , 2 , 39 , 249 , -170 , 0 , 0 , -14.7 , -46.6 , -10.9 

8005 , 2 , 39 , 269 , -150 , 0 , 0 , -15.3 , -46.9 , -9.4 

8057 , 2 , 39 , 289 , -130 , 0 , 0 , -16.5 , -46.0 , -7.9 

8107 , 2 , 39 , 295 , -124 , 0 , 0 , -17.1 , -44.8 , -7.1 

8159 , 2 , 39 , 300 , -119 , 0 , 0 , -17.0 , -44.3 , -7.1 

8210 , 2 , 39 , 303 , -116 , 0 , 0 , -15.8 , -42.3 , -7.9 

8261 , 1 , 38 , 303 , -116 , 0 , 0 , -15.3 , -42.4 , -8.4 

8311 , -1 , 36 , 303 , -116 , 0 , 0 , -16.1 , -42.4 , -7.2 

8363 , -1 , 36 , 303 , -116 , 0 , 0 , -17.8 , -44.1 , -4.6 

8414 , -2 , 35 , 303 , -116 , 0 , 0 , -19.1 , -45.2 , -3.2 

8465 , -3 , 34 , 303 , -116 , 0 , 0 , -19.4 , -47.9 , -3.6 

8516 , -3 , 34 , 303 , -116 , 0 , 0 , -23.4 , -49.7 , 0.2 

8566 , -4 , 33 , 303 , -116 , 0 , 0 , -27.5 , -47.5 , 5.8 

8618 , -4 , 33 , 303 , -116 , 0 , 0 , -31.7 , -45.4 , 12.7 

8669 , 0 , 37 , 304 , -115 , 0 , 0 , -32.9 , -45.1 , 14.3 

8720 , 5 , 42 , 304 , -115 , 0 , 0 , -33.5 , -44.2 , 14.3 

8771 , 1 , 38 , 304 , -115 , 0 , 0 , -33.1 , -45.8 , 13.9 

8821 , 3 , 40 , 304 , -115 , 0 , 0 , -32.9 , -44.8 , 14.5 

8873 , 5 , 42 , 304 , -115 , 0 , 0 , -31.2 , -46.0 , 11.1 

8924 , 5 , 42 , 304 , -115 , 0 , 0 , -32.3 , -44.6 , 12.7 

8975 , 2 , 39 , 304 , -115 , 0 , 0 , -33.6 , -45.1 , 14.7 

9026 , 3 , 40 , 304 , -115 , 0 , 0 , -32.0 , -47.4 , 11.4 

9077 , -2 , 35 , 304 , -115 , 0 , 0 , -30.4 , -49.6 , 7.4 

9127 , 2 , 39 , 304 , -115 , 0 , 0 , -29.0 , -51.2 , 4.3 

9179 , 7 , 44 , 304 , -115 , 0 , 0 , -27.6 , -52.0 , 2.1 

9230 , 17 , 54 , 304 , -115 , 0 , 0 , -27.1 , -51.7 , 2.3 

9281 , 41 , 78 , 304 , -115 , 0 , 0 , -30.0 , -50.3 , 6.6 

9332 , 70 , 107 , 304 , -115 , 0 , 0 , -31.4 , -51.1 , 6.5 

9383 , 90 , 127 , 304 , -115 , 0 , 0 , -31.1 , -50.8 , 8.6 

9434 , 96 , 133 , 304 , -115 , 0 , 0 , -31.7 , -51.1 , 9.4 

9485 , 94 , 131 , 304 , -115 , 0 , 0 , -31.4 , -51.2 , 9.6 

9536 , 97 , 134 , 304 , -115 , 0 , 0 , -30.2 , -52.2 , 7.2 

9587 , 112 , 149 , 304 , -115 , 0 , 0 , -31.9 , -50.8 , 9.4 

9638 , 151 , -172 , 304 , -115 , 0 , 0 , -33.3 , -49.5 , 11.8 

9689 , 185 , -138 , 304 , -115 , 0 , 0 , -35.3 , -50.0 , 15.9 

9740 , 222 , -101 , 303 , -116 , 0 , 0 , -32.1 , -51.9 , 11.4 

9791 , 232 , -91 , 303 , -116 , 0 , 0 , -34.2 , -53.5 , 13.4 

9841 , 233 , -90 , 303 , -116 , 0 , 0 , -32.2 , -53.2 , 12.2 

9893 , 237 , -86 , 304 , -115 , 0 , 0 , -30.6 , -54.1 , 8.6 

9944 , 242 , -81 , 304 , -115 , 0 , 0 , -31.8 , -52.9 , 11.1 

9995 , 253 , -70 , 304 , -115 , 0 , 0 , -34.0 , -52.2 , 16.0 

10045 , 255 , -68 , 304 , -115 , 0 , 0 , -36.0 , -51.8 , 18.9 

10097 , 253 , -70 , 303 , -116 , 0 , 0 , -34.8 , -52.6 , 16.7 

10147 , 256 , -67 , 303 , -116 , 0 , 0 , -33.3 , -52.3 , 14.2 

10199 , 259 , -64 , 303 , -116 , 0 , 0 , -32.5 , -52.5 , 14.2 

10250 , 259 , -64 , 303 , -116 , 0 , 0 , -32.6 , -52.6 , 14.8 

10301 , 265 , -58 , 303 , -116 , 0 , 0 , -31.4 , -53.6 , 12.2 

10352 , 278 , -45 , 303 , -116 , 0 , 0 , -32.8 , -52.7 , 15.2 

10403 , 303 , -20 , 303 , -116 , 0 , 0 , -35.5 , -51.3 , 18.8 

10454 , 317 , -6 , 303 , -116 , 0 , 0 , -33.0 , -52.5 , 15.3 

10505 , 327 , 4 , 303 , -116 , 0 , 0 , -32.2 , -52.9 , 13.0 

10556 , 322 , -1 , 303 , -116 , 0 , 0 , -31.4 , -53.6 , 12.5 

10607 , 322 , -1 , 303 , -116 , 0 , 0 , -30.5 , -53.4 , 11.7 

10658 , 328 , 5 , 303 , -116 , 0 , 0 , -29.2 , -53.2 , 10.3 

10709 , 341 , 18 , 303 , -116 , 0 , 0 , -31.6 , -52.4 , 12.3 

10760 , 377 , 54 , 303 , -116 , 0 , 0 , -34.6 , -50.4 , 16.2 

10811 , 409 , 86 , 303 , -116 , 0 , 0 , -37.4 , -50.5 , 18.9 

10861 , 427 , 104 , 303 , -116 , 0 , 0 , -37.9 , -50.1 , 18.6 

10913 , 434 , 111 , 303 , -116 , 0 , 0 , -38.1 , -50.1 , 18.1 

10963 , 435 , 112 , 303 , -116 , 0 , 0 , -36.6 , -50.8 , 15.3 

11015 , 431 , 108 , 303 , -116 , 0 , 0 , -31.9 , -52.2 , 8.0 

11065 , 432 , 109 , 303 , -116 , 0 , 0 , -30.6 , -51.9 , 5.2 

11117 , 435 , 112 , 303 , -116 , 0 , 0 , -31.2 , -52.8 , 5.8 

11167 , 436 , 113 , 304 , -115 , 0 , 0 , -28.3 , -53.1 , 2.9 

11219 , 436 , 113 , 304 , -115 , 0 , 0 , -26.3 , -55.5 , 2.6 

11270 , 436 , 113 , 303 , -116 , 0 , 0 , -23.7 , -54.7 , 1.4 

11321 , 435 , 112 , 298 , -121 , 0 , 0 , -19.5 , -53.9 , -1.4 

11372 , 432 , 109 , 300 , -119 , 0 , 0 , -19.3 , -54.7 , -1.1 

11423 , 432 , 109 , 299 , -120 , 0 , 0 , -23.0 , -56.8 , 1.8 

11474 , 432 , 109 , 300 , -119 , 0 , 0 , -21.9 , -59.5 , -1.2 

11525 , 431 , 108 , 304 , -115 , 0 , 0 , -17.2 , -62.4 , -7.1 

11576 , 430 , 107 , 304 , -115 , 0 , 0 , -10.8 , -63.2 , -15.6 

11627 , 430 , 107 , 304 , -115 , 0 , 0 , -9.3 , -63.3 , -18.0 

11677 , 431 , 108 , 302 , -117 , 0 , 0 , -10.7 , -62.9 , -17.0 

11729 , 430 , 107 , 302 , -117 , 0 , 0 , -9.9 , -65.7 , -17.4 

11780 , 423 , 100 , 304 , -115 , 0 , 0 , -5.8 , -70.6 , -21.6 

11831 , 406 , 83 , 311 , -108 , 0 , 0 , 0.3 , -72.2 , -28.7 

11882 , 380 , 57 , 344 , -75 , 0 , 0 , 9.1 , -73.7 , -37.0 

11933 , 365 , 42 , 366 , -53 , 0 , 0 , 9.1 , -72.7 , -37.6 

11984 , 359 , 36 , 366 , -53 , 0 , 0 , 5.9 , -71.5 , -34.2 

12035 , 357 , 34 , 367 , -52 , 0 , 0 , 10.5 , -68.9 , -39.4 

12085 , 356 , 33 , 368 , -51 , 0 , 0 , 13.7 , -69.6 , -42.1 

12137 , 365 , 42 , 368 , -51 , 0 , 0 , 16.8 , -72.6 , -45.6 

12188 , 353 , 30 , 376 , -43 , 0 , 0 , 22.0 , -74.9 , -50.3 

12239 , 343 , 20 , 395 , -24 , 0 , 0 , 14.6 , -74.6 , -39.8 

12290 , 318 , -5 , 419 , 0 , 0 , 0 , 9.5 , -74.6 , -33.2 

12341 , 300 , -23 , 425 , 6 , 0 , 0 , 9.0 , -72.6 , -33.0 

12392 , 297 , -26 , 424 , 5 , 0 , 0 , 8.4 , -68.9 , -32.0 

12443 , 294 , -29 , 428 , 9 , 0 , 0 , 9.8 , -68.0 , -33.5 

12494 , 294 , -29 , 429 , 10 , 0 , 0 , 5.8 , -67.0 , -30.0 

12545 , 292 , -31 , 421 , 2 , 0 , 0 , 5.4 , -68.9 , -29.0 

12596 , 295 , -28 , 428 , 9 , 0 , 0 , -1.5 , -69.3 , -20.6 

12647 , 287 , -36 , 442 , 23 , 0 , 0 , -10.0 , -69.1 , -10.4 

12697 , 273 , -50 , 470 , 51 , 0 , 0 , -2.4 , -67.8 , -19.2 

12749 , 254 , -69 , 489 , 70 , 0 , 0 , 1.1 , -67.4 , -25.0 

12800 , 245 , -78 , 490 , 71 , 0 , 0 , -0.3 , -66.2 , -26.2 

12851 , 252 , -71 , 495 , 76 , 0 , 0 , 0.9 , -64.5 , -27.1 

12901 , 248 , -75 , 491 , 72 , 0 , 0 , 0.7 , -64.1 , -26.5 

12953 , 247 , -76 , 491 , 72 , 0 , 0 , 3.4 , -67.0 , -29.5 

13003 , 245 , -78 , 494 , 75 , 0 , 0 , 2.6 , -71.3 , -28.1 

13055 , 243 , -80 , 505 , 86 , 0 , 0 , 5.5 , -72.9 , -29.4 

13106 , 222 , -101 , 525 , 106 , 0 , 0 , -0.4 , -76.8 , -20.2 

13157 , 193 , -130 , 541 , 122 , 0 , 0 , 7.7 , -81.5 , -25.4 

13208 , 180 , -143 , 546 , 127 , 0 , 0 , 30.4 , -82.1 , -48.7 

13259 , 179 , -144 , 552 , 133 , 0 , 0 , 23.5 , -83.1 , -42.5 

13310 , 171 , -152 , 553 , 134 , 0 , 0 , 3.5 , -81.0 , -21.4 

13361 , 170 , -153 , 553 , 134 , 0 , 0 , -2.5 , -81.0 , -15.9 

13412 , 172 , -151 , 550 , 131 , 0 , 0 , -5.3 , -82.2 , -13.3 

13463 , 165 , -158 , 554 , 135 , 0 , 0 , -8.3 , -81.7 , -9.0 

13513 , 147 , -176 , 563 , 144 , 0 , 0 , -9.2 , -79.9 , -6.8 

13565 , 123 , 160 , 584 , 165 , 0 , 0 , -9.1 , -76.5 , -7.4 

13616 , 115 , 152 , 589 , 170 , 0 , 0 , -7.0 , -69.4 , -11.7 

13667 , 110 , 147 , 590 , 171 , 0 , 0 , -3.2 , -64.8 , -15.7 

13717 , 107 , 144 , 597 , 178 , 0 , 0 , -9.3 , -62.5 , -10.3 

13769 , 107 , 144 , 594 , 175 , 0 , 0 , -16.2 , -60.2 , 1.1 

13820 , 109 , 146 , 593 , 174 , 0 , 0 , -19.7 , -59.7 , 8.6 

13871 , 113 , 150 , 595 , 176 , 0 , 0 , -20.1 , -57.1 , 13.7 

13922 , 110 , 147 , 597 , 178 , 0 , 0 , -20.0 , -53.5 , 13.3 

13973 , 109 , 146 , 597 , 178 , 0 , 0 , -13.8 , -49.5 , 1.0 

14023 , 109 , 146 , 598 , 179 , 0 , 0 , -14.8 , -44.9 , -3.4 

14075 , 108 , 145 , 598 , 179 , 0 , 0 , -13.4 , -41.1 , -7.4 

14126 , 107 , 144 , 599 , -180 , 0 , 0 , -13.4 , -38.4 , -5.4 

14176 , 108 , 145 , 599 , -180 , 0 , 0 , -13.4 , -38.7 , -3.9 

14228 , 107 , 144 , 598 , 179 , 0 , 0 , -14.4 , -39.3 , -2.2
