time_ms,motorA_rel_deg,motorA_abs_deg,motorB_rel_deg,motorB_abs_deg,motorC_rel_deg,motorC_abs_deg,yaw_deg,pitch_deg,roll_deg
3875 , -549 , -80 , 412 , 84 , 0 , 0 , -53.6 , -8.4 , 0.0 
3927 , -557 , -88 , 425 , 97 , 0 , 0 , -52.9 , -8.6 , 0.2 
3977 , -566 , -97 , 435 , 107 , 0 , 0 , -52.3 , -9.1 , 0.0 
4028 , -574 , -105 , 446 , 118 , 0 , 0 , -51.7 , -9.0 , 0.0 
4080 , -583 , -114 , 457 , 129 , 0 , 0 , -51.0 , -9.6 , -0.1 
4130 , -590 , -121 , 467 , 139 , 0 , 0 , -50.4 , -9.6 , 0.1 
4181 , -598 , -129 , 479 , 151 , 0 , 0 , -49.6 , -9.3 , -0.2 
4232 , -605 , -136 , 490 , 162 , 0 , 0 , -48.6 , -9.3 , 0.2 
4283 , -610 , -141 , 502 , 174 , 0 , 0 , -47.5 , -8.8 , 0.3 
4334 , -616 , -147 , 513 , -175 , 0 , 0 , -46.1 , -9.6 , 0.0 
4385 , -622 , -153 , 525 , -163 , 0 , 0 , -44.9 , -9.8 , 0.0 
4436 , -629 , -160 , 539 , -149 , 0 , 0 , -43.4 , -9.8 , 0.4 
4487 , -635 , -166 , 551 , -137 , 0 , 0 , -42.0 , -9.4 , 0.0 
4538 , -642 , -173 , 561 , -127 , 0 , 0 , -41.1 , -9.1 , 0.0 
4589 , -648 , -179 , 571 , -117 , 0 , 0 , -40.4 , -8.8 , 0.0 
4640 , -655 , 174 , 580 , -108 , 0 , 0 , -39.9 , -9.2 , 0.0 
4691 , -661 , 168 , 589 , -99 , 0 , 0 , -39.1 , -8.5 , 0.0 
4742 , -666 , 163 , 597 , -91 , 0 , 0 , -38.4 , -8.8 , 0.1 
4793 , -670 , 159 , 607 , -81 , 0 , 0 , -37.3 , -8.7 , 0.0 
4844 , -674 , 155 , 617 , -71 , 0 , 0 , -36.3 , -8.7 , 0.4 
4895 , -677 , 152 , 627 , -61 , 0 , 0 , -34.7 , -8.6 , 0.5 
4947 , -681 , 148 , 641 , -47 , 0 , 0 , -33.2 , -8.9 , 0.3 
4997 , -684 , 145 , 651 , -37 , 0 , 0 , -31.8 , -9.0 , 0.0 
5048 , -689 , 140 , 662 , -26 , 0 , 0 , -30.7 , -9.5 , 0.0 
5099 , -694 , 135 , 671 , -17 , 0 , 0 , -29.9 , -9.3 , 0.0 
5150 , -699 , 130 , 681 , -7 , 0 , 0 , -29.1 , -9.0 , 0.1 
5201 , -704 , 125 , 691 , 3 , 0 , 0 , -28.3 , -8.6 , 0.0 
5252 , -709 , 120 , 700 , 12 , 0 , 0 , -27.5 , -8.4 , 0.1 
5303 , -715 , 114 , 710 , 22 , 0 , 0 , -26.8 , -9.1 , 0.3 
5354 , -720 , 109 , 720 , 32 , 0 , 0 , -25.9 , -9.3 , 0.2 
5405 , -726 , 103 , 729 , 41 , 0 , 0 , -25.0 , -9.0 , 0.1 
5456 , -733 , 96 , 740 , 52 , 0 , 0 , -24.0 , -9.3 , 0.2 
5507 , -741 , 88 , 750 , 62 , 0 , 0 , -23.1 , -9.0 , 0.1 
5558 , -747 , 82 , 761 , 73 , 0 , 0 , -22.2 , -9.1 , 0.4 
5609 , -754 , 75 , 772 , 84 , 0 , 0 , -20.8 , -8.7 , 0.5 
5660 , -760 , 69 , 786 , 98 , 0 , 0 , -19.3 , -9.2 , 0.9 
5711 , -766 , 63 , 800 , 112 , 0 , 0 , -17.4 , -8.9 , 0.4 
5762 , -772 , 57 , 814 , 126 , 0 , 0 , -15.7 , -9.0 , 0.3 
5813 , -778 , 51 , 828 , 140 , 0 , 0 , -14.1 , -9.2 , 0.6 
5864 , -786 , 43 , 841 , 153 , 0 , 0 , -12.8 , -9.1 , 0.3 
5915 , -793 , 36 , 854 , 166 , 0 , 0 , -11.5 , -9.1 , 0.7 
5966 , -802 , 27 , 868 , -180 , 0 , 0 , -10.4 , -8.9 , 0.3 
6017 , -810 , 19 , 880 , -168 , 0 , 0 , -9.5 , -8.9 , 0.9 
6068 , -816 , 13 , 893 , -155 , 0 , 0 , -8.0 , -9.1 , 0.7 
6119 , -823 , 6 , 906 , -142 , 0 , 0 , -6.8 , -8.8 , 0.7 
6170 , -829 , 0 , 918 , -130 , 0 , 0 , -5.6 , -8.6 , 0.7 
6222 , -835 , -6 , 928 , -120 , 0 , 0 , -4.5 , -8.4 , 0.7 
6272 , -838 , -9 , 937 , -111 , 0 , 0 , -3.3 , -8.4 , 1.0 
6323 , -840 , -11 , 946 , -102 , 0 , 0 , -1.9 , -8.5 , 0.9 
6374 , -843 , -14 , 956 , -92 , 0 , 0 , -0.1 , -8.9 , 0.8 
6425 , -846 , -17 , 967 , -81 , 0 , 0 , 1.6 , -9.1 , 0.5 
6476 , -850 , -21 , 981 , -67 , 0 , 0 , 3.2 , -9.3 , 0.7 
6527 , -854 , -25 , 995 , -53 , 0 , 0 , 5.1 , -9.4 , 0.7 
6578 , -859 , -30 , 1007 , -41 , 0 , 0 , 6.6 , -9.1 , 0.9 
6629 , -863 , -34 , 1020 , -28 , 0 , 0 , 8.2 , -9.2 , 0.8 
6680 , -867 , -38 , 1032 , -16 , 0 , 0 , 9.8 , -9.2 , 1.0 
6731 , -870 , -41 , 1046 , -2 , 0 , 0 , 11.9 , -9.3 , 0.8 
6782 , -874 , -45 , 1060 , 12 , 0 , 0 , 13.8 , -9.3 , 0.9 
6833 , -876 , -47 , 1074 , 26 , 0 , 0 , 16.1 , -9.9 , 0.6 
6884 , -881 , -52 , 1088 , 40 , 0 , 0 , 18.4 , -9.6 , 0.4 
6935 , -885 , -56 , 1101 , 53 , 0 , 0 , 20.1 , -9.5 , 0.6 
6986 , -892 , -63 , 1113 , 65 , 0 , 0 , 21.3 , -9.3 , 0.7 
7037 , -898 , -69 , 1123 , 75 , 0 , 0 , 22.3 , -9.2 , 0.6 
7089 , -903 , -74 , 1133 , 85 , 0 , 0 , 23.3 , -9.1 , 1.0 
7139 , -909 , -80 , 1144 , 96 , 0 , 0 , 24.1 , -9.4 , 1.1 
7190 , -917 , -88 , 1153 , 105 , 0 , 0 , 24.7 , -10.2 , 0.7 
7241 , -928 , -99 , 1164 , 116 , 0 , 0 , 24.6 , -10.0 , 0.6 
7292 , -939 , -110 , 1174 , 126 , 0 , 0 , 24.5 , -9.9 , 0.6 
7343 , -948 , -119 , 1184 , 136 , 0 , 0 , 24.5 , -9.4 , 0.8 
7394 , -959 , -130 , 1193 , 145 , 0 , 0 , 24.6 , -9.4 , 0.4 
7445 , -967 , -138 , 1201 , 153 , 0 , 0 , 24.5 , -9.0 , 0.5 
7496 , -973 , -144 , 1205 , 157 , 0 , 0 , 24.5 , -7.9 , 0.5 
7547 , -973 , -144 , 1206 , 158 , 0 , 0 , 24.5 , -7.3 , 0.4 
7598 , -973 , -144 , 1205 , 157 , 0 , 0 , 24.4 , -8.1 , 0.7 
7649 , -973 , -144 , 1204 , 156 , 0 , 0 , 24.3 , -7.0 , 0.1 
7700 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -6.1 , -0.3 
7751 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -6.7 , 0.0 
7802 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -7.0 , 0.0 
7853 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.3 , -7.1 , 0.1 
7904 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.3 , -7.1 , 0.4 
7955 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -7.0 , 0.0 
8006 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.3 , -7.1 , 0.1 
8057 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -7.0 , -0.2 
8108 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -7.4 , 0.2 
8159 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.4 , -6.4 , 0.0 
8210 , -972 , -143 , 1204 , 156 , 0 , 0 , 24.3 , -7.6 , 0.7
