time_ms,motorA_rel_deg,motorA_abs_deg,motorB_rel_deg,motorB_abs_deg,motorC_rel_deg,motorC_abs_deg,yaw_deg,pitch_deg,roll_deg
100 , -1 , 108 , 2 , 34 , 0 , 0 , -23.9 , -8.0 , -0.8 
152 , -2 , 107 , 2 , 34 , 0 , 0 , -24.1 , -6.9 , -1.0 
203 , -2 , 107 , 2 , 34 , 0 , 0 , -24.1 , -6.6 , -1.0 
254 , -2 , 107 , 2 , 34 , 0 , 0 , -23.9 , -5.4 , -0.7 
305 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.9 , -0.7 
356 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.9 , -0.7 
407 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.7 , -0.9 
458 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.2 , -0.7 
509 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.2 , -0.9 
560 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.8 , -1.0 
611 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.8 , -0.9 
662 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.0 , -0.8 
713 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.2 , -0.8 
764 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.1 , -0.8 
815 , -3 , 106 , 1 , 33 , 0 , 0 , -23.8 , -7.4 , -1.1 
866 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -6.5 , -0.9 
917 , -3 , 106 , 1 , 33 , 0 , 0 , -23.8 , -7.5 , -0.9 
968 , -3 , 106 , 1 , 33 , 0 , 0 , -23.9 , -7.1 , -0.8 
1019 , -2 , 107 , 0 , 32 , 0 , 0 , -24.1 , -7.0 , -0.5 
1070 , -2 , 107 , 0 , 32 , 0 , 0 , -24.3 , -7.6 , -0.9 
1121 , -2 , 107 , 0 , 32 , 0 , 0 , -24.5 , -6.9 , -1.0 
1172 , -2 , 107 , -1 , 31 , 0 , 0 , -24.7 , -7.7 , -0.7 
1223 , -2 , 107 , -1 , 31 , 0 , 0 , -24.6 , -7.2 , -0.9 
1274 , -2 , 107 , -2 , 30 , 0 , 0 , -24.8 , -8.0 , -0.5 
1325 , -2 , 107 , -1 , 31 , 0 , 0 , -24.6 , -7.7 , -0.9 
1376 , -2 , 107 , 0 , 32 , 0 , 0 , -24.1 , -7.7 , -1.2 
1427 , -2 , 107 , 0 , 32 , 0 , 0 , -24.3 , -7.5 , -1.0 
1478 , -3 , 106 , 0 , 32 , 0 , 0 , -24.1 , -7.2 , -0.9 
1529 , -3 , 106 , 0 , 32 , 0 , 0 , -24.0 , -7.4 , -0.9 
1580 , -2 , 107 , 0 , 32 , 0 , 0 , -24.3 , -8.5 , -0.6 
1631 , -2 , 107 , 1 , 33 , 0 , 0 , -24.2 , -7.2 , -0.6 
1682 , -2 , 107 , 2 , 34 , 0 , 0 , -24.3 , -7.3 , -0.7 
1733 , -2 , 107 , 2 , 34 , 0 , 0 , -24.3 , -7.5 , -1.0 
1784 , -2 , 107 , 2 , 34 , 0 , 0 , -24.4 , -9.2 , -0.9 
1835 , -3 , 106 , 2 , 34 , 0 , 0 , -24.8 , -7.7 , -0.7 
1886 , -3 , 106 , 2 , 34 , 0 , 0 , -24.8 , -8.8 , -0.7 
1937 , -3 , 106 , 2 , 34 , 0 , 0 , -25.3 , -8.7 , -0.5 
1988 , -4 , 105 , 3 , 35 , 0 , 0 , -25.5 , -8.8 , -0.6 
2039 , -4 , 105 , 3 , 35 , 0 , 0 , -25.7 , -8.4 , -0.8 
2090 , -14 , 95 , 3 , 35 , 0 , 0 , -27.8 , -10.2 , -1.0 
2142 , -36 , 73 , 4 , 36 , 0 , 0 , -31.4 , -10.9 , -0.7 
2192 , -64 , 45 , 5 , 37 , 0 , 0 , -36.7 , -11.3 , -1.3 
2243 , -92 , 17 , 5 , 37 , 0 , 0 , -41.9 , -10.4 , -1.3 
2294 , -114 , -5 , 5 , 37 , 0 , 0 , -46.9 , -9.3 , -0.9 
2345 , -132 , -23 , 5 , 37 , 0 , 0 , -50.4 , -9.0 , -0.9 
2396 , -147 , -38 , 17 , 49 , 0 , 0 , -51.4 , -10.1 , -0.3 
2447 , -159 , -50 , 35 , 67 , 0 , 0 , -50.4 , -10.4 , 0.1 
2498 , -174 , -65 , 57 , 89 , 0 , 0 , -49.6 , -10.8 , -0.4 
2549 , -194 , -85 , 75 , 107 , 0 , 0 , -50.1 , -10.3 , -0.5 
2600 , -219 , -110 , 90 , 122 , 0 , 0 , -51.6 , -9.9 , -1.2 
2651 , -247 , -138 , 106 , 138 , 0 , 0 , -53.7 , -10.0 , -1.0 
2702 , -270 , -161 , 120 , 152 , 0 , 0 , -55.5 , -9.3 , -0.9 
2753 , -288 , -179 , 133 , 165 , 0 , 0 , -57.0 , -8.7 , -0.4 
2804 , -303 , 166 , 145 , 177 , 0 , 0 , -58.0 , -8.1 , -0.1 
2855 , -315 , 154 , 157 , -171 , 0 , 0 , -58.4 , -7.9 , -0.4 
2907 , -327 , 142 , 168 , -160 , 0 , 0 , -58.4 , -7.8 , -0.2 
2957 , -337 , 132 , 179 , -149 , 0 , 0 , -58.7 , -8.5 , 0.0 
3008 , -347 , 122 , 188 , -140 , 0 , 0 , -59.0 , -8.2 , 0.0 
3059 , -356 , 113 , 196 , -132 , 0 , 0 , -59.1 , -8.4 , -0.2 
3110 , -365 , 104 , 204 , -124 , 0 , 0 , -59.1 , -9.0 , -0.2 
3161 , -376 , 93 , 214 , -114 , 0 , 0 , -59.1 , -9.5 , -0.4 
3212 , -385 , 84 , 223 , -105 , 0 , 0 , -59.1 , -10.1 , -0.3 
3263 , -397 , 72 , 233 , -95 , 0 , 0 , -59.2 , -10.0 , 0.1 
3314 , -410 , 59 , 244 , -84 , 0 , 0 , -59.1 , -10.6 , -0.1 
3365 , -422 , 47 , 256 , -72 , 0 , 0 , -59.0 , -10.7 , -0.2 
3416 , -437 , 32 , 271 , -57 , 0 , 0 , -58.8 , -11.2 , -0.6 
3467 , -453 , 16 , 286 , -42 , 0 , 0 , -59.0 , -11.3 , -0.2 
3518 , -469 , 0 , 302 , -26 , 0 , 0 , -59.1 , -10.8 , 0.0 
3569 , -483 , -14 , 318 , -10 , 0 , 0 , -59.1 , -10.4 , 0.0 
3620 , -498 , -29 , 334 , 6 , 0 , 0 , -58.9 , -9.8 , 0.0 
3672 , -512 , -43 , 353 , 25 , 0 , 0 , -58.3 , -9.4 , 0.2 
3722 , -522 , -53 , 371 , 43 , 0 , 0 , -57.2 , -9.6 , 0.4 
3773 , -531 , -62 , 385 , 57 , 0 , 0 , -55.9 , -9.2 , 0.3 
3824 , -540 , -71 , 400 , 72 , 0 , 0 , -54.7 , -9.2 , 0.3 
